"","text"
"52","biaya layanan tambah biaya langganan makin aneh tambah mahal malah terbatas restonya gofood gocar go ride mahal kompetitor goclub udah sultan promo akunnya malah hilang ðÿ nggak istimewanya tuh sultan wkwk reward naikin goclub skrg cuma voucher sampah ga didouble total diskonnya cuma nutup biaya layanan "
"53"," eror pembayaran notifikasiikasi tersambung internet sinyal kencang rubah "
"54","gk tau knapa buat ato dafatr kok susah akun cuman no hp ku ganti pkai akun gogle seharus nya berkali coba login gk apl sebelah biarpun ganti no hp berkali login pakai akun gogle verifikasih no hp sesimple terpaksa uninstal apl gojek daripada bikin pusing "
"55","gofood nya kacaw dah beli dipake resto diminatin udah harga naek malah rumit berasa scam beli gofood rugi mending gw nyamperin tempatnya pake delivery dr restonya kecewa dah aja gw subscribe thanks"
"56"," armada terdeteksi map customer dilihat driver terdekat pick up tolong diperbaiki "
"57","kok makin rumit skrg apliksi sinyal udah bagus ehh pas order gosend drivernya an double pas dicancel gak bgt error kayak gini meresahkan makin maju harusnya pelayanan fleksibel gak oper sana sini kecewa bgt"
"58"," jangka gojek mengapa terkahir gojek enak mengisi gopay nomor telepon alhasil uang terbuang percuma pesanan cancel pesanan mengapa tiba tiba drive malah driver seenaknya pesanan dicancel sananya error driver"
"59","aplikasinya error promo diapply pindah pesan grab aja deh update bugsnya dibenerin dong tiap siang error voucher applied halaman pembayaran berubah update update bugsnya dibenerin nich ga error "
"60"," pengguna pake x uninstall kendaraan menjemput plat nomor kendaraan masak dijemput motor smash yg kotor layak fisik mesin pake motor ga papa sih layak ajah pake kecewa ðÿ "
"61"," suka pakai gopay memudahkan gak usah uang scan selesai kendala nya scan qr udah rumit banget pake wifi kalo gak pake bhilang gak sinyal sinyal g jujur kecewa perkembangan nya aneh aplikasi nya "
"62"," pengguna gosend aktivitas kirim mohon kiranya aplikasi gojek permudah fiturnya riwayat pesanan yg selesai terkirim pesan mengetik ulang alamat menu favorit cepat simple alamat favorit menyimpan alamat pengguna alamat yg kirim mohon perbaiki "
"63","rute penjemputan rute pengantaran rute alternatif driver suka njemput mengikuti rute aplikasi rute teraebut tidakbisa efektif driver samapai menjemput pengorder kadang malah melewati rute yg diakses driver puterbalik rute orderan gofood masak gabungan pantes banget sampeknya "
"64"," suka pakai gojek fitur didalamnya gopay algorithma pembayaran va bukti pembayaran perjalanan sebagus bukti pembayarannya menyerupai etiket pembelian tiket pesawat saking bagusnya mengapresiasi lembar tp entah mengapa kesini jd alakadarnya "
