"","text"
"316","kecewa pakek udah bagus bagus eh malah kek php in apk nih driver kosong deket loh gak udah menunggu dapet driver sampe gak dapet dapet kasih tau sibuk pesanan lah driver menunggu pesanan sebelah ku gak gak sistem nya gimana dahlah pindah aja malas nih apk"
"317","rada kecewa pembaruan yg beli gofood uang koin dipake buat pembayaran misal uang koin k gopay total gofood k dipake duanya srkarang kok aaaaaa kecewaa"
"318"," aplikasi go car yg mahal tarif nya kok aplikasi yg gak sampe kemahalan bgtu makin uninstal ni aplikasi "
"319","fitur tarik tunainya kenapa kok sebulanan ga hisa buat tarik tunai atm perbarui malah fiturnya dihunakan "
"320","tolong fitur one tap diperhatikan soalnya mencek harga gataunya gocar yg terpesan terima kasih"
"321","fitur kirim uang kadang menunggu trus saldo dah potong uang blm rek penerima tolong d perbaiki mengecewakan fitur kirim uangnya kasi bintang aja karna layanan mengeceewakan "
"322","sistem yg pakai transfer gangguan malam kalah aplikasi dana menyesal pakai gopay buat transaksi "
"323","aprovall gopay plus banget udah acc x notifikasiikasi chat update kaga mohon pelayanannya diperbaiki thx"
"324"," driver disekitar godrive harga jg sdh naik krn rame tp ttp satupun driver yg driver ðÿ ðÿ ðÿ "
"325","kenapa nih aplikasi gojek kok nggak mendeteksi alamat pick up mesan ojek gara gara map mendeteksi alamat pick up loh tolong diperbaiki"
"326"," an pakai paylater aja udah gk belum udah gak niat gak sih kok gk profesional banget gitu kinerjanya emang gak rekomendasi ni gojek cuma bikin kesal ama kecewa aja udah daftar e tau nya gak gak niat banget layanan customer service aja gak emang gak mending aplikasi sebelah pd apaan"
"327","pelayanan buruk pake go send kirim percaya buat kirim terima penerima sukses in nya dagangan hilang ngga "
"328"," download aplikasi mendaftar email pribadi solusi email yg pakai bertahun yg daftar kan disemua akun tolong ditindak lanjutðÿ ðÿ "
"329","rawan sibuk server down nya order ojek orderannya berhasil kenyataannya orderan driver sekian terimakasih"
"330","kenapa promonya berubah min lumayan buat ladang cari rezeki disini kalo berubah berubah min ganti kartu berkali supaya dpt promo lumayan eh gituin "
"331","heloo gosend driver udh menit ga dicancel trs buat pilihan cancel ga dicancel kan aneh"
"332","aplikasi mudah diakses perjalanan jarak menengah tarif terjangkau kemananan terjamin "
"333"," sistem nya perbaiki error maintenance weekdays ngehambat bngt yg lgi make fitur gopay pembayaran tiket krl "
"334","tambah tambah update kok tambah applikasinya bagus ringan hmmm kemarin yaaah update agak lumayan laah kemarin "
"335"," ketemu driver yg on time panik mepet jalur padat komunikasi nyambung sdh nyampe terlambat alhamdulillah "
"336","aplikasinya kanp daftar gopay plus tolak tulisannya gini gak berhasil upgrade gopay plus kamu mencoba pendaftaranmu gak ketentuan silakan coba kartu id selfie valid kan ktp ama wajah "
"337","pdhl srg pakai gojek tp x kecewa saldo go pay hilang gt aj tiba liat riwayat pembayaran voucher hotel jkt pdhl batam pesan gofood batalkan resto tp go pay terpotong tdk udh komplain gojek blg nya dlm dana saldo terpotong tp udh jg kesal "
"338","driver ramah sakit minta diantar kerumah sakit malah dibentak gunakan aplikasi rekomendasi kan aplikasi kolega keluarga terima kasih berperilaku buruk "
"339","loading berbulan gopay tertahan rb qris gojek gofood gunakan loading komplain instagram tanggapi tolong solusinya terima kasih "
"340"," berapa jarak terdekat kalo pake go ride minimal k tambahan biaya aplikasi beda jarak terdekat k kualitas naikin biaya tambahan"
"341","gopay gopaylater suka eror bayar tagihan pesan gofood malah koneksi pilih menu dll percuma promoâ makanan ga malas pakai gopay gopaylater"
"342","percuma pembaruan bukannya meningkat malah tambah ancur pendapatannya profeder dibuat mainan operator off dilihat diakun castamer hitungan sekor driver dibunuh pelan yg dipake ilmu politik castamer dilindungi aset operator anak emas alasan sistem kalo mentok menyalakan driver driver mesin pencari uang"
"343","hallo gojek please tolong udah pulang memasukkan alamat aja gps on udah update versi terbaru alamat aja ðÿ pleasee udah ketergantungan banget gojek buat mobilitas sampe pulang pleaseeðÿ "
"344","sistem payleternya makin gak aja pakai rb udah suruh bayar secepatnya denda perbayaran kok bru pakai bayar pakai payleternya ðÿ žðÿ žðÿ gojek makin gak "
"345","kenapa saldo gojek gopay tb hilang pas cek riwayat yg pesan google play youngjoy pake saldo beli kek begituan tolong dong bantuannya gojek uang terkuras "
"346","performanya makin anjlok drivernya lambat gak buru buru "
"347"," bayar pake gopay via kode gagal alasannya koneksi internet hilang internet kuota sinyal bagus ulang tetap ga tolong perbaiki"
"348","aplikasi kacau suruh menunggu gofood berjam antrian resto kelewat cancel siapapun customer ga cancel driver resto ga cancel "
"349","kenapa aplikasi nge bug daftar gopay plus akun tolong respon nya dong developer kecewa nih saldo gopay hilang karna permasalah sistem aplikasi "
"350"," pesan aplikasinya muterrrrr teros lambat kok malah nyalahin sinyal gua sinyal lancar nonton youtube lancar buka aplikasi lancar emang aplikasi lu aneh malah nyalahin sinyal blokkkkkkkk"
"351","ga ngerti gojek dimarahin driver malah customernya tolong lah benerin sistemnya titik jemputan maps gada bener nya gaada sinkron nya gegara gojek error malah dimarahin driver gegara titik jemputan udah udah dijemput titik aplikasi gaada bener nya heran auto uninstall gojek"
"352","payah gak bantu costumer gak cuman gara gara keseringan bagus up pulsa malah no nya blok udah coba bantuan berkali tetep nihil"
"353","mohon kejelasan bantuannya bagus up go pay aplikasi bank kemarin saldo bertambah "
"354"," update bukanny makin bagus malah bikin rumit tiap panggil gobox pakai no aktif jadinya kerjaan tiap pnggil ulang hrus dicatat nomor "
"355"," kecewa pesan malah susah buat binggung ngak dreiver gmn sih apk nya ngak kayak dl dl enak biarpun hujan dreiver niru sebelah kebanyakn seponsor jadinya binggung gunakan gojek susah beneran susah "
"356"," mahal ongkir jarang promo terpasang otomatis sekrang klik rumithrus pke saldo susah kalo pke bayar gk diskon "
"357","buruk banget transfer pembelian layanan digital nya lambat banget masuknya aplikasi bodoh diandalkan cepat"
"358"," suka fitur dobel order layanan gofood makan dingin ga enak kayak ga driver aja gojej pengen nya untung alias rakus"
"359","hati hati jebakan gojeksetiap kasi tips driverselalu tertulis internet mati klik lagijadilah x kasi tips teliti merugikan sadar "
"360"," update aplikasi jadinya gofood mode hemat ongkir malah gak dpt promo sedih bgt abis pakai paket ongkir gofood plusðÿ "
"361"," lg knp y sdh x loh mesen utk go send error yg prtma driver tdk jlnâ sdh memenunggu tdk bs d cancel smpi telepon cs menghabiskan pulsa yg lumayan skrg driver trs tdk bs d cancel klik cancel driver minta cancel driver aja blm dpt tp udh driver mnt cancel udh gt ga bs d cancel "
"362"," transfer rekening bankkatanya upgrade gopay pluspadahal udah account gopay plus transfer rekening banktapi kenapa "
"363","baiaya mahal biaya aplikasi biaya kasian driver cuma ampasnya aja soal pelayanan pelayanan yg nglayani driver harusnya driver yg reward aplikasi malah tambahan biaya asuransi bisnis masukan asuransi "
"364","aplikasi bagus tolong masukin opsi voucher potong ongkir resto gak resto mark keluarga doyan "
"365","udah mengirim laporan diselesaikan kenapa aplikasi udah bagus up transaksi "
"366"," pesan go food mahal banget ongkir mahal harga makanan naik harusnya mmpermudah blm lg biaya parah emg ðÿ ž"
"367","makin kayak eror ongkir mahal makanan dipesan harganya beda beli minta tolong diperbaiki "
"368"," buruk layanannya lambat bagus saldo gopay diindomaret saldonya mintak bantuan malah ditanggapi respon lambat layanannya masak iya butuhnya saldo dananya diprose lambat gojek bekerjanya masak menunggu nomor akun lainya yg diakun kokbuktinya aplikasi gojek elit bagus up gopay sulit"
"369","kalo gini bakal kalah ama grab kalo ga ketemukan pdhal grab kan ga jaringan gps dll tp karna dev yg "
"370","layanan yg kendala cuma kalo pesan goride or gocar dgn promo driver gk niat kasih tips kok tolong tingkatkan pelayanannya beri costumer penilaian diantar ganti driver"
"371","pemesanan go car efisien drivet penumpang penumpang fan utuk keterengan akurat aplikasi menit prakteknha memit memgecewakan"
"372","biaya naik bukannya pelayanan bagus aplikasi malah error gk mending pakai aplikasi grab indriver yg bagus sistemnya error kayak gojek"
"373"," gojek murah g skrng malah mahal huhu sedih udah gitu promonya cuma diskonnya cuma perak ðÿ beralih g deh jdinya krna msh murah promo diskonnya lbh ðÿ "
"374","mesenin goride adeku pembayaran tertulis apk jago kirain pake qris nyedot saldo soalnya bayar jago nah makanya nanya chat abangnya pake qris gak soalnya pesanin adeku pake hpku sampe lah adeku dirumah nyedot saldo adeku bayar tunai saldo udah kesedot pengen chat abangnya gimana karna kan apk tujuan chatnya punberakhir yaudh iklasin "
"375","kok rumit ngisi nomor telepon buat pengambilan tujuan otomatis kalo orderan nya udah "
"376","aplikasi cocok pesan makanan discontnya gofood bagus "
"377","dear gojek yakin programmernya ilmu manajemen sistem mohon perbaiki alamat favorit coba kembalikan fungsinya semula mempermudah memilih tujuan aplikasinya update tetap diperbaiki harusnya klik alamat memilih tujuan titik jemput malah cuma menampilkan informasi alamat menjengkelkan memilih alamat peta tolong perbaiki"
"378"," pesan gocar pengemudi chat kasih tau pas klik kirim malah terpesan jd ga enak sma pengemudi nya bingung kok bs gtu "
"379","jek email aq terdaftar no hp aq lenyap hpnya login registrasi ga email terdaftar minta solusinya "
"380"," status go club udh anak sultan tetep aja susah banget dapet driver kalo pas ujan go ride smpe go bluebird g yg sekalinya dapet cancel drivernya"
"381"," diupdate malah bug ga chat driver bug parah sih berasa kecewa upgrade yg "
"382","tolong tolong bgt aplikasi suda update segala macem nyangkut driver tolong mengecewakan "
"383","maaf gojek maumemberi tau kalo riwayat alamat dipencarian ko hilang ðÿ kalo biarin kesimpen aja riwayat alamat tujuannya lelah kalo ngetik nyocokin lokasi ulang ðÿ ðÿ soalnya kepake banget aplikasi sukses terusðÿ ªðÿ ª"
"384","benerâ kecewa akun anak sultan tibaâ voucher akun hilang pelanggaran gak banget akun harta karun gunakan udah berhasil gunain malah gak dapet cashback ny parah nya customer komplain menutup chat aplikasi "
"385","kenapa upgrade sih akun terkoneksi foto ktp selfie no terkoneksi akun driver percuma isi saldo kirim uang bank "
"386"," update yg ga driver ga cancel driver cepat cancel ganti aplikasi ga cancel kan kesal"
"387","gajelas kirim kode cuman detik kekirim nya kode pesan detik isi gak kode suda kadaluwarsa gajelas "
"388","kenapa ngambil orderannya sampe kilo jek nganternya ga sampe kilo kalo ngambil orderan agak gimana gitu ngambilnya doang argo ga akal "
"389"," bagusup gopay kecewa apk cs nya membantudan kalian download apk cs nya email nya gk direspon intinya bagusup masukhatiâ klo download apk bisaâ saldo kalian kuras"
"390"," pemakai jasa gojeg sdh dibhilang langganan yg keluhan keberatan sy knp biaya jasa aplikasi transaksi mesti minta biaya jasa aplikasi go shop yg skrg jasa aplikasi per transaksi blm ditambah ongkos driver misal byk msh mending sy maklum tlg dipikirkan lg kadang skrg order gojeg mikir "
"391","sehabis update animasi pembelian berhasil pembelian tiket kereta go transit gk tau tiket masukan minor animasi memperlambat antrian taping tiket stasiun dipercepat animasinya dihilangkan ðÿ œ"
"392","kenapa aplikasi nya aneh dah mesan goride malah driver mesan aja mohon perbaiki aplikasinya bug error "
"393","terima kasih salam aspal ðÿ ðÿ ðÿ menghimbau pengguna applikasi tolong buat order hendaknya memakai layanan diteliti order dibuat hindari pembatalan order perbedaan harga harga perak aja cari murah en nak tekan tombol cancel selesai efeknya buat driver perbuatan menyusahkan tolong kesadarannya terima kasih "
"394"," kasih bintang aplikasinya suka error maps yg nggak driver tarif yg tibaâ berubah mahal pemilihan rute yg tiap lokasi yg dituju semoga perbaikan tambahin kalo aplikasi membaik terima kasih "
"395","udah transfer teruss menunggu balik tingkatkan laah ampe menunggu kalo gagal balikin aja kalo sejam si okee menunggu ampe "
"396","aplikasi error sesudah memesan malah gk pesanannya detail menghilang keadaanya aktif drivernya dihubungi "
"397"," buka aplikasinya eror gajelaspadahal sinyal kenapa ga yahmohon diperbaiki dong ðÿ ðÿ "
"398"," apdet nomor kontak gopay gak kelihatan historynya rumit klau transfer sesama gopay rek masukin nomornya bad bad bad tolong kembalikan tampilan yg sudh terhubung gopay "
"399"," kecewa aplikator pandai balik suksesan mitra driver mitra kucilkna rendahkan manusiawi memperlakukan mitra tolong kembalikan sistem bonusnya kasihan narik gelap pulang gelap kalian apresiasi jerih payah "
"400","upgrade wallet biar transferdi apk x pas udah ga berubah statusnyamana pas bgt kont "
"401"," update pas order suka error gak driver yg harga berkali naik driver yg tolong diperbaiki"
"402","isi pulsa sini sukses nmer seri tp cek gk pulsanya kalian bhilang kalok emang tipu gk usah gini caranya dong walaupun cuma rb uang "
"403","kecewa bgt gopay ngadain gopaypinjam pas bayar alfatapi udh alfa bilng gak bayar va atm bca nya acount blm perkenankan pengen pke gopay blom trsedia pembayaran dgn gopay trus bayar gak kan kan tiap bunga nya trus brtambah gimana nih bingung nya ðÿ ðÿ "
"404"," mesen aplikasi harga diskon tiba tiba harganya berubah harga normal petipuan transaksi tiket awalnya cashback coin refund transaksi cashback coin hilang"
"405"," pelanggan gojek koq reward makin yaaa yg menghilang cash yg ditukar dah ga dialfa mart sungguh disayangkan paylater yg ga bertambah pembayaran tepat krn dg gojek ttp kasih bintang bersahabat manjakanlah pelanggan mu berpaling app"
"406","buat aplikasi nya bagus sih bermanfaat iklan gojek galeri banget risih tolong dong buat benerin iklan apk nya gpp galeri menuhin memori"
"407","minus pemesanan info dr apk konfirm dibuatkan menunggu driver tiba tiba pesanan auto cancel rugi menunggu buat yg gajelas "
"408","tolong tanggapi laporan aplikasi transaksi pulsa pin lupa pin ganti tetap limit urgensi"
"409"," pengguna layanan gofood gosend tp kecewa skrg gofood jd x pengantaran karna fitur antar driver hrga beda resto ongkir lg skrg voucher nya gk lg makin peforma nya makin turun sdgkan biaya nya makin mahal"
"410"," kasih go car nya tepat lokasi bagus ramah sopir nya tuk pusat go jek go car detil lgi arah map nya biar yng jemput nya gk berputar putar saran sanya tetap perbaiki biar konsumen puas semangat pake aplikasi "
"411"," aplikasinya bagus voucher goride gofood pembayaran tunai mohon ditambahkan voucherðÿ ðÿ ðÿ ðÿ terima kasihðÿ "
"412","saran tolong tambahkan aplikasi fitur memilih memilih go car dipaksa tol drivernya tol terima kasih semoga cepat respon"
"413"," driver nolak pake go pay bbrapa yg nerima tp tumpangi kendaraannya sungguh gak mengenakan berasa naik kendaraannya gak byr pdhl kan naiknya byr tp mmg pake promo paham sieh promo d kasi dr gojek murah tp jgn lah penumpang tolak dikasi tdk mengenakan agak kecewa "
"414","knpa update gopay gak gunakan buat transaksi sma buat transfer udah pke finger masukin pin pas udah masukin pin mlah pin pinnya udah benerðÿ œ stelah bberapa make gopay trnyata skrng mlah gini bisaâ beralih apk klo gini trus gak ad penyelesaianðÿ "
"415","kenapa kasih bintang kasih bagus bintang pembayaran disuruh banding laporan hasilnya ditolak kejelasan alasan kenapa diblok fitur pembayaran kesalahan penyalahgunaan gopay"
"416","kenapa ongkir go food mahal sekale harga ayam yg beli ongkir sm biaya nya jarak tempuh km malas jadinya order go food lagiðÿ gak ngotak ongkir sm biaya "
"417","admin goto driver ngeluh ga ditanggapi malah aplikasi customer didenger ditanggapi tolong diperbaiki sistemnya tanggapi driver "
"418","gajelas aplikasi tiba tiba diblokir berbuat sesuatu aneh aneh pesan berjuta jutaan trus anak sultan goclub malah diblokir kecewa dah aplikasi gak "
"419","tolong diperbaikiakun gk bisaâ nomor aktif link buat login buka tp gk hasilnya update knp butut"
"420"," aplikasi kenapa sih susah transfer gk sinyal sinyal klo mw transfer bank malah ng loading "
"421"," kecewa driver gocar sdh menit tiba cancel pemberitahuan ðÿ darurat buru buru "
"422","ngeselin banget sumpaaaah komplain ga tanggepin pas tanggepin ga notifikasiikasi buka aplikasi saldo e money ga isi pake nomor kartu ga update otomatis ampooon kalah gitu sediain isi pake kartu dong kesal "
"423"," make dlu promo nya puas make lv udh promo nya malah berkurang nya kan makin lv makin promo ni malah makin dikit ðÿ ðÿ dlu deh"
"424","gojek apknya makin lambat beli pulsatagihan bukanya lambat banget koneksi internet tolong perbaiki apknya lancar "
"425"," trasnfer uang kenapa menunggu yg sya transfer uang sendiripadahal x transfer beda menit yg nominalnya diatas jt yg masuknya satunya cuma lgs aneh kenapa berbeda menunggu menunggu "
"426","aplikasi nya bagus apabila makan yg heran perjalanan yg murah perjalanan yg harga nya harga perjalanan "
"427","rute naiknya tarif siginifikan muternya mahall mending pakai app sebelah"
"428"," pesan nasi goreng saking loadingny nasgornya tutup sampe sampe pas pindah tetangga sebelah si ijo gercep bat kirain sinyalku yg susah ternya app nya eror sistem app segede loading kok agak kecewa sih"
"429","yakin parah sy transfer uang aplikasi parah banget tdk kejelasan cepat uangnya malah berhenti tdk kejelasanjangan sampe kirim uang aplikasi "
"430"," bagus nya lg ni aplikasi kasih bintang aja massa apdret trus foto ktp lah foto wajah lah bikin rumit klu ktp nya lg brurr tau gak trus gak bs nya makin gak ni aplikasi jelek bgt"
"431"," rubah ratingnya gunakan bayar pinnya ganti sandi barunya lihat tetap "
"432","gojek bayar rekening aja upgrade gopay plus buat gk menu aplikasi upgrade nya mohon bantuan nya pakay gopay plus transaksi terimakasih"
"433","pesanan gi food indak dibatalkan mengubah alamat pengantaran fee pengantaran terasa mahal uninstall"
"434","aplikasi berguna trutama utk food restoran buka tap tdk temukan berguna"
"435","bug text area chat driver naik keyboard mengetik diketik tertutup keyboard aplikasi normal android "
"436","susah banget driver tolong perbaiki aplikasi nya versi terbaru kenapa susah banget driver nya pengen order aja jaringan koneksi ðÿ ðÿ ðÿ ðÿ "
"437"," bayar pbb isi saldo tagihan isi saldo tiba tagihan error jngn gitu seolah saldo ditahan duluu "
"438","tolong perbaiki berkali pakai gojek tetep loadingnya trnsaksi belum dlm tindak lanjuti mohon kecewakan pengguna"
"439","halo gojek kenapa status pesanan gosend siang malam kelanjutan nya aplikasi info nya driver coba cancel siang tadi cancel orderan tolong dibantu dong gojek"
"440","selamat siang kkkenapa saldo gopay berkurang karna pembayaran gogle playstoresedangkan transaksi apapunterima kasih tolong respon nya"
"441","tolong hilangkan biaya layanan please ayo kayak biaya layanan terimakasih semoga umur sehat yg buat aplikasi semoga yg dikomentari pelanggan gojek ðÿ ðÿ ðÿ "
"442","mosok order gocar akun kan suwe auto uninstall mending pake sebelah aplikasi stabil normal "
"443","terimakasih gojek aplilasi order gofood gocar goride sayangnya gopay hilang notifikasiikasi ktp berbeda dukcapil perbarui dukcapil mencoba upload tetap ditolak pas pembaruan ulang ðÿ ðÿ "
"444","kenapa tiba tiba suruh upgrade gopay plus up gopay plus transaksi pemgiriman anehâ "
"445","aneh error muluu pdhal jaringan oke udh coba segala buat ga error tetap instal ulang malah pas masukin nomor hp eror"
"446","gak aplikasinya ganti nomor aja susah x udah peringatan mencoba suruh menunggu mnit dah menunggu sampek sejam aja gak guna"
"447","aplikasi gojek kacau alamat favorit history pengiriman hilang sendirinya pekerjaan tambah rumit mohon permudah pelayanan fiturnya pelanggan setianya gak kabur mohon pembenahan secepatnya aplikasinya "
"448","ganti hp trs akun ga kok akun malah disuruh daftar gmn daftar emailnya aja gw cuma ga boleh make email dibhilang udah terdaftar ogah banget buat akun email kan emng udh daftar knp suruh buat akun muluuu gw mencet daftar "
"449","pesan ganposisi hujan tetep aja ngeloading driver yg kejar klo kaya gini plih unistal aplikasi"
"450","aplikasi jelekkkktulisnya aja carikan driver terdekat nyatanya dpt driver yg alhasil smpe telat gereja krna menunggu driver lokasinya udah bego kdng yg deket aja bnyk tpi dicariin yg "
"451","gomart dibatalkan kesalahan klik rawan opsi bantuan customer service lambat respon kecewa"
"452","apaan pay laternya gajelas blasss order maret kok temponya maret paylater apanya sehari setelahnya udah tempo aja bayar biaya admin perbulannya galagi dah pake paylater tipu nih aplikasi bedanya bayar pake rekening kalo ceritanya sumpah hapus aja aplikasi dipake dah"
"453"," versi update yg terbaru gimana sih nih addduuhhh bikin riweeehh aja jaringan internet stabil"
"454","tolong sistemnya dirubah harusnya pengemudi yg terdekat yg dpt orderan sisi cust cepat sisi driver bensin ðÿ žðÿ žðÿ ž"
"455","go club menjamin prioritas pesanan layanan aplikasi bagus bandung bandung go ride berfungsi subuh macet hujan gunakan grab maxim disaat "
"456","bagus optimalisasi toko makanan tutup diperbaiki karna sesekali memesan makanan malah diterima toko makanan toko nya tutup"
"457","bintang kelima staf keduanya cerah profesional wajib memesan proposal fusinya bagus bahan bakunya berkualitas manajer santai ramah terima bagus merekomendasikannya"
"458"," gojek aneh udh anak sultan clubnya malahan promonya dihilangin flashsalenya jdi ga aneh bener org pake aplikasi reward malahan dikurangin udahlah ga jdi langganan gojek lapor bingung hmm"
"459","edan sih buat paylater nya feb dah lunas maret kepake k an maret dah jatuh tempo makin kecewa tu sistemnya gimana sih bukannya memudahkan malah persulit"
"460"," komplain udh blm bales loading trs transaksi g hapus dowload lg malah loading trs pas verif nomor internet bagus udh pake data jaringan wifi tp loading knp trs email g respon"
"461","upgrade gopay plus susah berkali mengajukan gagal alasan spesifik copas template menghubungi cs dibalas bot penyelesaian"
"462","aplikasi nya bagus bagus biaya layanan kalo pesan gofood makin makin mahal belum ongkir nya mikir mikir kalo beli"
"463","makanan dingin seharus nya makanan cepat driver antar pesanan laen pelayanan tambah bagus malah buruk pakai gojek karna duku cepat tepat malah ikutin aplikasi sebelah oderan double buat driver dimana antar pesanan"
"464","aplikasi terburuk yg gw dwonload nih hrganya skrang nggk akal klo pngen cpet kaya nggk bgitu cranya prforma lo aja jlek bnget lambat lgi aplikasi gojek sma gobiz jlek smua sma lambat kek grabe dong mudah nggk rumit auto uninstal nih aplikasi nggk guna "
"465"," ã menunggu transferan rekening status aplikasi selesai kirim bantuan via aplikasi ditanggapi gimana "
"466","jelek login aja suruh cek sms trus klik link gakada sms nomorku nomor telepon nyusahin aja"
"467","sy kasih bintang karna sy masukkan email jawabnya email terdaftar gk menu selanjutnya harusnya terdaftar dong makin kesini makin gak "
"468"," bertahun pakai gopay plus tiba dihapus gopay ketentuan ketentuan kenapa bertahun malah minta upload ektp curiga sepertinya kalian hobinya mengumpulkan data pribadi pengguna dimana data data kalian minta ulang gak kasi tinggalkan pakai gojek kalian aja layanan "
"469"," bukti samapai bikin video ss perdetik buat buktikan klik pakai voucher tetep terpotong jawaban cs malah templete pastikan klik pakai voucher payah"
"470"," kasih bintang karna kecewa gopay tarik atm suruh upgredsedangkan upgrad pas foto ktp tetap gak uang gak pakai tolong dong perbaiki"
"471","dear gojeksaya bayar cicilan gopaypinjam halaman menu gopaypinjam tdk loading teruspdhl jaringan bagustolong solusi nya donk gimanasaya udah dm twitter ga follow up nyaudah ngadu email balasan jugatolong solusi nyatetimakasih"
"472","driver entah dimana orderan terima alhasil pelanggan rugikan memenunggu pesan via gojek tujuan cepat malah "
"473"," transfer dana gopay shopeepay tpi rekeningnya brmlasah trus sya transfer dana tpi pembertihuan lah bgaimana sya cuma transfer doang rumit banget"
"474"," daftar diblokir blm dipake tuh akun udh menyalahi aturan gojek tanya pusat bantuan malah terhitung banding aneh aplikasi gak "
"475","restaurant belum menu terima pesanan aplikasi nya ga cancel bikin menunggu kantor tuh nya merugikan"
"476","otw pesan makanan harga rb jasa layanan rb ongkir rb jarak cuma km dah porsi"
"477","makin makin gaasik gua rider gojek gua nongkrong sma dibikin go instant kantor udah kaya sales nanya dipaksa pake go instant pesan akun terbiasa order sistem parahnya ga ngehargain udah nongkrong dibase campnya gaada basa basi "
"478","history alamat kesimpan agak rumit mencari alamat dahulu stiap transaksi alamat nya "
"479","dear gojek makin update makin map driver bergerak pas cancel didepan driver nya sisanya sih gpp terimakasih"
"480"," customer kecewa driver khususnya driver go carnya kala mudik pergi terminal telat bus pesanan cancel drivernyasangat sulit driversedangkan mudik istri bawaan berupa buah tas kopersebelum cancel tanyakan chat customer berapa penumpangnyajangan batalin pesanan ajah"
"481"," layanan gocar n gojek andalkan tp utk layanan gofood sangattdk diandalkan biaya udha biaya nya ongkir nya mahal banget skrg ketambahan biaya aplikasi nya beban kn yg order makanan sayangkan skli pdhal dlu gk yg nya biaya aplikasi nya ongkir nya terjangkau skrang order sm biaya ongkir n apl nya mahal ktimbang order gofood nya yg buat mikir klu order ðÿ ž perbaiki dong sistim nya gofoodðÿ ž"
"482","pesanan double menunggu pake mode hemat tolong aplikator untung sendir mengorbankan pelanggan"
"483","kenapa gak tarik tunai transfer bank sistem perbaikan lg udah update aplikasinya ayo dong perbaiki "
"484","ga pakai gocar jeraa jeraa muahaalllll bangettttt tarifnya drivernya aja aplikasi sebelah mending pakai aplikasi satunya murah pilihan professional "
"485"," jujur pelanggan driver aplikasi pelanggan ongkos potongan jasa yg seolah driver upah kenyataanya aplikasi gopartner driver upah potongan "
"486","app bagus parah sih udah diskon nya driver nya ramahâ gimana marah ah parah sih app nya"
"487"," loading gak pakai aplikasi dihapus instal ulang loading muter trusðÿ "
"488","tolonglag gojeekkk walaupun raya costumer tumpangan pulang gimna sih pemerataan drivernya ga jalanin mending aplikasi sebelah walu pelayanan nya harga terjangkau engga udahlah mahal nya hapus aja nih aplikasi"
"489"," bug gopay disitu foto ktp malah gagal forceclose trs ketrgn aplikasi gojek bug hapus memori dll gitu sy lupa tolong diperbaiki min dftr jdi susah gini ni uang gopay ga in pliss benahi"
"490"," fitur tukar pakai gocoins gunakan tukar coin transaksi tolong jawab kembalikan dlu tolong perbaikin "
"491"," gofood jelek banget udah ga kupon diskongratis ongkir hilang mahal banget biaya embel nya uda harga makanan dinaikin biaya embel ongkir makann rb rb lbh bye gofood"
"492"," transaksi bagus up gopay lancar aman metode isi ulang saldo muali min k tambahan biaya kðÿ š"
"493"," sejauh bagus sih cuma fitur gofood tolong tambahkan metode pembayaran tunai pickup order ðÿ ðÿ "
"494","parah udah berlangganan gojek udah menggisi pulsa token tpi tdk kluar nmr token pulsa nggak masukâ klau bgni nya bakal bnyak cs yng pindah aplikasi tolong perhatikan kan bakal rugi klau gni nya"
"495","pelayanan ny cepat aplikasi ny makin makin kacau gangguan suruh menunggu aduh"
"496"," suka gojekkarna mudah pesanditambah fitur yg canggihtolong kembangkan maju berkembang gojek indonesia "
"497","halo selamat siang gagal order gocar x saldo terpotong lapor bantuan belum diproses malah ditutup walahi kenapa makin kualitas aplikasinya turun terimakasih"
"498","pembelian paket gratis ongkir gofood klik menjebak transaksi konfirmasi pin "
"499","aplikasi eror gak bayar playlater cicilan dpt bunga keterlambatan bayar tagihan cicilan nasabah "
"500","driver gojek meresahkan kalo tiap hujan nya dpt cancel berkali pesan cancel krn jemput nya nah trafik map gojek nya foto motor yg deket area tp sayang nya driver ora sudi buat orderan klo emg gak orderan akun driver nya mending offin donk pesan dri ampe dpt kan kebangetan anak tutup gerbang nya tolong perhatikan kecewa bgt"
"501"," kasih karna saldo trx ngirim uang dana saldo sayang kan fitur bantuan cs lambat mohon kembalikan saldo "
"502"," order gocar n bayar pake gopay driver malah mengantar penumpang aplikasi infonya kok menuju perjalanan dirumahsaya chat driver utk dicancel aja tp direspon alhasil gopayku tetap kepotong"
"503","kenapa memilih lokasi titik jemput tujuan dipeta update aja mohon diperbaiki secepatnya"
"504"," bagus up gopay sejam yg liat mutasi rekening berhasil saldo terpotong kenapa gopay bertambah "
"505","respon server lambat sinyal bagus kendala mesen gojek jadinya delay jadinya cancel uang terpakai "
"506","aplikasi buruk banget gw dibikin puasa seharian gara gara sistem pembayar gopaynya gak tolong perhatiin buat sistem pembayaran gopay beli kado temenskincare makan gak "
"507","tarif tibaâ berubah ramai jarak voucher tarif mahal ðÿ ðÿ "
"508"," pesan makanan driver buat malas pakai gojek mending pakai aplikasi sebelah praktis cepat"
"509","rencananya bintang malah lokasi penjemputan terblokir alasannya gak makin aneh aja nih aplikasi udah gak niat tutup aja bantuan aplikasi gak haduh"
"510","aplikasi bukamuter ga aplikasi gojek sdh cek kuota msh bnyaksdh hapus instal ulang tetap ga buka"
